Continente;cod continente;País;cod pais;UF;cod uf;Via;cod via;ano;Mês;cod mes;Chegadas
África;1;África do Sul;2;Acre;1;Aérea;1;2019;janeiro;1;0
África;1;África do Sul;2;Acre;1;Aérea;1;2019;fevereiro;2;0
África;1;África do Sul;2;Acre;1;Aérea;1;2019;março;3;0
África;1;África do Sul;2;Acre;1;Aérea;1;2019;abril;4;0
África;1;África do Sul;2;Acre;1;Aérea;1;2019;maio;5;0
África;1;África do Sul;2;Acre;1;Aérea;1;2019;junho;6;0
África;1;África do Sul;2;Acre;1;Aérea;1;2019;julho;7;0
África;1;África do Sul;2;Acre;1;Aérea;1;2019;agosto;8;0
África;1;África do Sul;2;Acre;1;Aérea;1;2019;setembro;9;0
África;1;África do Sul;2;Acre;1;Aérea;1;2019;outubro;10;0
África;1;África do Sul;2;Acre;1;Aérea;1;2019;novembro;11;0
África;1;África do Sul;2;Acre;1;Aérea;1;2019;dezembro;12;0
África;1;Angola;6;Acre;1;Aérea;1;2019;janeiro;1;0
África;1;Angola;6;Acre;1;Aérea;1;2019;fevereiro;2;0
África;1;Angola;6;Acre;1;Aérea;1;2019;março;3;0
África;1;Angola;6;Acre;1;Aérea;1;2019;abril;4;0
África;1;Angola;6;Acre;1;Aérea;1;2019;maio;5;0
África;1;Angola;6;Acre;1;Aérea;1;2019;junho;6;0
África;1;Angola;6;Acre;1;Aérea;1;2019;julho;7;0
África;1;Angola;6;Acre;1;Aérea;1;2019;agosto;8;0
África;1;Angola;6;Acre;1;Aérea;1;2019;setembro;9;0
África;1;Angola;6;Acre;1;Aérea;1;2019;outubro;10;0
África;1;Angola;6;Acre;1;Aérea;1;2019;novembro;11;0
África;1;Angola;6;Acre;1;Aérea;1;2019;dezembro;12;0
África;1;Cabo Verde;35;Acre;1;Aérea;1;2019;janeiro;1;0
África;1;Cabo Verde;35;Acre;1;Aérea;1;2019;fevereiro;2;0
África;1;Cabo Verde;35;Acre;1;Aérea;1;2019;março;3;0
África;1;Cabo Verde;35;Acre;1;Aérea;1;2019;abril;4;0
África;1;Cabo Verde;35;Acre;1;Aérea;1;2019;maio;5;0
África;1;Cabo Verde;35;Acre;1;Aérea;1;2019;junho;6;0
