date,continent,actual,forecast
2024-01-01,TOTAL,163598.0,126417.91077287207
2024-02-01,TOTAL,170305.0,125445.7502495989
2024-03-01,TOTAL,157683.0,119528.07250576797
2024-04-01,TOTAL,102172.0,92821.45857905796
2024-05-01,TOTAL,84116.0,79998.81311315832
2024-06-01,TOTAL,82402.0,83737.01186643398
2024-07-01,TOTAL,108089.0,93769.41379074617
2024-08-01,TOTAL,91504.0,90322.902799378
2024-09-01,TOTAL,116003.0,84970.84221256647
2024-10-01,TOTAL,130985.0,92825.73207752433
2024-11-01,TOTAL,145148.0,101861.23606410541
2024-12-01,TOTAL,176121.0,120615.06151797363
