ds,simulation,set,value
2000-01-01,sim_0,train,91871.65311279701
2000-02-01,sim_0,train,81020.16383754271
2000-03-01,sim_0,train,76870.84227947077
2000-04-01,sim_0,train,57825.58227665011
2000-05-01,sim_0,train,43181.621928341636
2000-06-01,sim_0,train,46129.52883286657
2000-07-01,sim_0,train,78724.42254766812
2000-08-01,sim_0,train,65024.98783930598
2000-09-01,sim_0,train,64582.27334116694
2000-10-01,sim_0,train,72812.44513782754
2000-11-01,sim_0,train,72890.25874936808
2000-12-01,sim_0,train,71390.26808274568
2001-01-01,sim_0,train,109510.6606304894
2001-02-01,sim_0,train,100436.60784420712
2001-03-01,sim_0,train,88281.8050831216
2001-04-01,sim_0,train,74084.03566772306
2001-05-01,sim_0,train,55087.17610370108
2001-06-01,sim_0,train,59936.75462214845
2001-07-01,sim_0,train,76784.54671835995
2001-08-01,sim_0,train,74455.11515360417
2001-09-01,sim_0,train,62161.59477422075
2001-10-01,sim_0,train,61427.67882392443
2001-11-01,sim_0,train,60695.497269160085
2001-12-01,sim_0,train,47206.31467554678
2002-01-01,sim_0,train,78567.57491709465
2002-02-01,sim_0,train,72761.62441669338
2002-03-01,sim_0,train,80932.65613858546
2002-04-01,sim_0,train,55360.069703649686
2002-05-01,sim_0,train,52327.81051928464
2002-06-01,sim_0,train,55120.06299305784
2002-07-01,sim_0,train,66103.04646152884
2002-08-01,sim_0,train,61615.9567890842
2002-09-01,sim_0,train,46214.188472590904
2002-10-01,sim_0,train,57464.1907050668
2002-11-01,sim_0,train,54694.4743568608
2002-12-01,sim_0,train,68646.72069026211
2003-01-01,sim_0,train,82877.65361819223
2003-02-01,sim_0,train,80474.60040371833
2003-03-01,sim_0,train,73910.89685601255
2003-04-01,sim_0,train,57492.457777987074
2003-05-01,sim_0,train,46544.46144042719
2003-06-01,sim_0,train,47057.733783885604
2003-07-01,sim_0,train,59539.20029517709
2003-08-01,sim_0,train,47702.852268881434
2003-09-01,sim_0,train,42787.77494496396
2003-10-01,sim_0,train,51245.79571635049
2003-11-01,sim_0,train,53009.44536496232
2003-12-01,sim_0,train,77511.75957172582
2004-01-01,sim_0,train,71417.86667198125
2004-02-01,sim_0,train,100961.45015233316
2004-03-01,sim_0,train,102044.07189400031
2004-04-01,sim_0,train,60618.40459859617
2004-05-01,sim_0,train,54909.62297125916
2004-06-01,sim_0,train,47819.67952840317
2004-07-01,sim_0,train,62916.46194054189
2004-08-01,sim_0,train,49416.939907426175
2004-09-01,sim_0,train,48138.85778068005
2004-10-01,sim_0,train,48820.44081781782
2004-11-01,sim_0,train,78318.01147849005
2004-12-01,sim_0,train,146759.54509803938
2005-01-01,sim_0,train,99284.08804685107
2005-02-01,sim_0,train,91779.98782671322
2005-03-01,sim_0,train,82151.5160771152
2005-04-01,sim_0,train,70236.49474067235
2005-05-01,sim_0,train,42766.64015452234
2005-06-01,sim_0,train,43734.94814878891
2005-07-01,sim_0,train,58784.95675520423
2005-08-01,sim_0,train,50678.27368150554
2005-09-01,sim_0,train,59890.57816060903
2005-10-01,sim_0,train,72786.00669249342
2005-11-01,sim_0,train,74501.07621753751
2005-12-01,sim_0,train,89767.56381288159
2006-01-01,sim_0,train,106524.39581304652
2006-02-01,sim_0,train,93243.28155029962
2006-03-01,sim_0,train,79406.38467330481
2006-04-01,sim_0,train,57924.90288105762
2006-05-01,sim_0,train,43394.71732674035
2006-06-01,sim_0,train,44590.81701685207
2006-07-01,sim_0,train,72295.87954274574
2006-08-01,sim_0,train,51044.615217038365
2006-09-01,sim_0,train,53855.61178650304
2006-10-01,sim_0,train,61556.270808526606
2006-11-01,sim_0,train,60045.81718970176
2006-12-01,sim_0,train,71426.42803015899
2007-01-01,sim_0,train,100883.60722445493
2007-02-01,sim_0,train,90803.58564321672
2007-03-01,sim_0,train,73103.11469120687
2007-04-01,sim_0,train,56855.92094131779
2007-05-01,sim_0,train,46952.535683394046
2007-06-01,sim_0,train,50142.50169077795
2007-07-01,sim_0,train,65466.89746628913
2007-08-01,sim_0,train,60973.34065234906
2007-09-01,sim_0,train,53400.28957791532
2007-10-01,sim_0,train,49832.58754473146
2007-11-01,sim_0,train,66608.0231602967
2007-12-01,sim_0,train,67321.90259359026
2008-01-01,sim_0,train,105804.47651119853
2008-02-01,sim_0,train,104734.85352110697
2008-03-01,sim_0,train,91706.01339855007
2008-04-01,sim_0,train,64990.49638125923
2008-05-01,sim_0,train,53393.06569581474
2008-06-01,sim_0,train,44733.24836837598
2008-07-01,sim_0,train,52978.67728613553
2008-08-01,sim_0,train,48209.98380558576
2008-09-01,sim_0,train,46174.67895217814
2008-10-01,sim_0,train,48862.98058442201
2008-11-01,sim_0,train,62063.73278942131
2008-12-01,sim_0,train,73450.89888949484
2009-01-01,sim_0,train,99509.16790278978
2009-02-01,sim_0,train,93953.45288861473
