date,continent,actual,forecast,ets_model,arima_model,model_type,error,abs_error,pct_error
2000-01-01,South America,91318.0,93530.52915303595,"ETS(M,A,M)","(1, 0, 0, 0, 1, 0, 0)",HYBRID,-2212.5291530359536,2212.5291530359536,-2.4228839363936503
2000-02-01,South America,80424.0,90891.35467566164,"ETS(M,A,M)","(1, 0, 0, 0, 1, 0, 0)",HYBRID,-10467.354675661642,10467.354675661642,-13.01521271717602
2000-03-01,South America,75716.0,82734.34666096518,"ETS(M,A,M)","(1, 0, 0, 0, 1, 0, 0)",HYBRID,-7018.3466609651805,7018.3466609651805,-9.269304586831291
2000-04-01,South America,62957.0,59279.713870687236,"ETS(M,A,M)","(1, 0, 0, 0, 1, 0, 0)",HYBRID,3677.2861293127644,3677.2861293127644,5.840948789352677
2000-05-01,South America,53855.0,50700.45165751017,"ETS(M,A,M)","(1, 0, 0, 0, 1, 0, 0)",HYBRID,3154.5483424898266,3154.5483424898266,5.857484620721988
2000-06-01,South America,52278.0,65669.24454157651,"ETS(M,A,M)","(1, 0, 0, 0, 1, 0, 0)",HYBRID,-13391.24454157651,13391.24454157651,-25.61544921683406
2000-07-01,South America,67061.0,61778.93905963662,"ETS(M,A,M)","(1, 0, 0, 0, 1, 0, 0)",HYBRID,5282.060940363379,5282.060940363379,7.876501901795946
2000-08-01,South America,64874.0,62598.45427745341,"ETS(M,A,M)","(1, 0, 0, 0, 1, 0, 0)",HYBRID,2275.545722546587,2275.545722546587,3.5076389964339905
2000-09-01,South America,59626.0,53889.40220105477,"ETS(M,A,M)","(1, 0, 0, 0, 1, 0, 0)",HYBRID,5736.597798945229,5736.597798945229,9.620967026037684
2000-10-01,South America,66774.0,62263.87817516814,"ETS(M,A,M)","(1, 0, 0, 0, 1, 0, 0)",HYBRID,4510.121824831862,4510.121824831862,6.75430830088337
2000-11-01,South America,68772.0,66670.43626154435,"ETS(M,A,M)","(1, 0, 0, 0, 1, 0, 0)",HYBRID,2101.5637384556467,2101.5637384556467,3.0558421137318192
2000-12-01,South America,68817.0,84453.68668621677,"ETS(M,A,M)","(1, 0, 0, 0, 1, 0, 0)",HYBRID,-15636.686686216766,15636.686686216766,-22.722127797225635
2001-01-01,South America,114615.0,83453.94091039468,"ETS(M,A,M)","(1, 0, 0, 0, 1, 0, 0)",HYBRID,31161.059089605318,31161.059089605318,27.187592452650456
2001-02-01,South America,107891.0,95933.48355929818,"ETS(M,A,M)","(1, 0, 0, 0, 1, 0, 0)",HYBRID,11957.516440701816,11957.516440701816,11.082960062194083
2001-03-01,South America,100995.0,91380.49891813027,"ETS(M,A,M)","(1, 0, 0, 0, 1, 0, 0)",HYBRID,9614.501081869734,9614.501081869734,9.519779278053106
2001-04-01,South America,84549.0,68466.52325479178,"ETS(M,A,M)","(1, 0, 0, 0, 1, 0, 0)",HYBRID,16082.476745208216,16082.476745208216,19.0214866470428
2001-05-01,South America,61234.0,59768.0674358807,"ETS(M,A,M)","(1, 0, 0, 0, 1, 0, 0)",HYBRID,1465.932564119299,1465.932564119299,2.393984655778324
2001-06-01,South America,59574.0,72340.01398521848,"ETS(M,A,M)","(1, 0, 0, 0, 1, 0, 0)",HYBRID,-12766.01398521848,12766.01398521848,-21.428834701746535
2001-07-01,South America,78543.0,68665.15658738167,"ETS(M,A,M)","(1, 0, 0, 0, 1, 0, 0)",HYBRID,9877.843412618327,9877.843412618327,12.576351059443013
2001-08-01,South America,73986.0,71030.56639259322,"ETS(M,A,M)","(1, 0, 0, 0, 1, 0, 0)",HYBRID,2955.4336074067833,2955.4336074067833,3.9945849314826907
2001-09-01,South America,56266.0,61028.53382661286,"ETS(M,A,M)","(1, 0, 0, 0, 1, 0, 0)",HYBRID,-4762.53382661286,4762.53382661286,-8.464319174302172
2001-10-01,South America,58872.0,66160.95867409869,"ETS(M,A,M)","(1, 0, 0, 0, 1, 0, 0)",HYBRID,-7288.958674098685,7288.958674098685,-12.381027779077804
2001-11-01,South America,60806.0,68455.6768628287,"ETS(M,A,M)","(1, 0, 0, 0, 1, 0, 0)",HYBRID,-7649.676862828695,7649.676862828695,-12.580463873349167
