date,continent,actual,forecast
2024-01-01,Africa,303.0,365.55118
2024-02-01,Africa,446.0,355.60855
2024-03-01,Africa,337.0,382.53174
2024-04-01,Africa,402.0,347.73175
2024-05-01,Africa,397.0,343.43057
2024-06-01,Africa,225.0,309.06223
2024-07-01,Africa,259.0,276.23862
2024-08-01,Africa,260.0,269.82877
2024-09-01,Africa,302.0,304.46646
2024-10-01,Africa,342.0,356.5441
2024-11-01,Africa,546.0,328.4083
2024-12-01,Africa,439.0,426.09912
2024-01-01,America_Central_E_Caribe,912.0,1142.357
2024-02-01,America_Central_E_Caribe,843.0,856.27344
2024-03-01,America_Central_E_Caribe,1302.0,930.4845
2024-04-01,America_Central_E_Caribe,1082.0,1097.0912
2024-05-01,America_Central_E_Caribe,1155.0,1243.5294
2024-06-01,America_Central_E_Caribe,1293.0,1269.6156
2024-07-01,America_Central_E_Caribe,1038.0,1301.6908
2024-08-01,America_Central_E_Caribe,1337.0,1318.4202
2024-09-01,America_Central_E_Caribe,2115.0,1672.4762
2024-10-01,America_Central_E_Caribe,1590.0,1513.2833
2024-11-01,America_Central_E_Caribe,2002.0,1639.5916
2024-12-01,America_Central_E_Caribe,1908.0,1432.0708
2024-01-01,America_Do_Norte,17392.0,18222.379
2024-02-01,America_Do_Norte,23972.0,22261.336
2024-03-01,America_Do_Norte,24138.0,19399.484
2024-04-01,America_Do_Norte,13860.0,14641.594
2024-05-01,America_Do_Norte,13905.0,13337.304
2024-06-01,America_Do_Norte,13955.0,13982.629
2024-07-01,America_Do_Norte,14335.0,14054.633
2024-08-01,America_Do_Norte,14356.0,15984.745
2024-09-01,America_Do_Norte,16133.0,14359.12
2024-10-01,America_Do_Norte,15468.0,15467.941
2024-11-01,America_Do_Norte,23062.0,17581.93
2024-12-01,America_Do_Norte,29679.0,24560.297
2024-01-01,America_Do_Sul,113242.0,85856.25
2024-02-01,America_Do_Sul,95566.0,85459.516
2024-03-01,America_Do_Sul,88312.0,82570.51
2024-04-01,America_Do_Sul,54861.0,55401.48
2024-05-01,America_Do_Sul,45903.0,42577.395
2024-06-01,America_Do_Sul,48792.0,40937.99
2024-07-01,America_Do_Sul,62593.0,49136.91
2024-08-01,America_Do_Sul,48059.0,58110.62
2024-09-01,America_Do_Sul,71341.0,52824.203
2024-10-01,America_Do_Sul,81603.0,71306.086
2024-11-01,America_Do_Sul,78739.0,88280.47
2024-12-01,America_Do_Sul,99840.0,79011.59
2024-01-01,Europa,28460.0,32013.01
2024-02-01,Europa,43208.0,34241.7
2024-03-01,Europa,39531.0,32617.33
2024-04-01,Europa,28563.0,26204.861
2024-05-01,Europa,19597.0,23787.523
2024-06-01,Europa,15600.0,18717.902
2024-07-01,Europa,27062.0,22654.34
2024-08-01,Europa,24719.0,23722.053
2024-09-01,Europa,22025.0,23112.928
2024-10-01,Europa,28376.0,26691.777
2024-11-01,Europa,34420.0,29995.736
2024-12-01,Europa,39981.0,37085.08
2024-01-01,Oceania,1677.0,1311.3457
2024-02-01,Oceania,2109.0,1839.3281
2024-03-01,Oceania,1565.0,1374.826
2024-04-01,Oceania,928.0,1059.4404
2024-05-01,Oceania,546.0,626.2611
2024-06-01,Oceania,580.0,657.5622
2024-07-01,Oceania,730.0,793.4102
2024-08-01,Oceania,611.0,871.67633
2024-09-01,Oceania,1242.0,964.4927
2024-10-01,Oceania,1002.0,1297.8315
2024-11-01,Oceania,1129.0,973.06555
2024-12-01,Oceania,1623.0,1447.9219
2024-01-01,Asia,1612.0,3039.929520791294
2024-02-01,Asia,4161.0,3415.112941662064
2024-03-01,Asia,2498.0,2487.8299004252026
2024-04-01,Asia,2476.0,1699.748825585029
2024-05-01,Asia,2613.0,1696.8279053275965
2024-06-01,Asia,1957.0,2112.411441125106
2024-07-01,Asia,2072.0,1918.2139507947868
2024-08-01,Asia,2162.0,2144.566481240453
2024-09-01,Asia,2845.0,1895.4421724474776
2024-10-01,Asia,2604.0,1665.8643043400257
2024-11-01,Asia,5250.0,1698.2936227095215
2024-12-01,Asia,2651.0,2165.5817107307366
