date,continent,arrivals,year,month_sin,month_cos,quarter_sin,quarter_cos,lag_1,lag_2,lag_3,lag_6,lag_12,seasonal_strength,trend_strength,seasonal_peak_year,seasonal_trough_year,spikiness,linearity,curvature,stl_e_acf1,stl_e_acf10
2002-01-01,Africa,1598.0,2002,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,1273.0,1179.0,1143.0,1518.0,2099.0,0.9698189163923515,0.7913489350512772,1.0,21.0,400751.9999999927,1.0,4.263256414560601e-14,-0.12406456138646069,0.0012635213190505398
2002-02-01,Africa,1479.0,2002,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,1598.0,1273.0,1179.0,1433.0,2071.0,0.9663925587330721,0.5052427113843504,12.0,20.0,402338.349372946,0.9999999999999998,2.6645352591003757e-14,-0.045454545454542486,0.007879778407896866
2002-03-01,Africa,1372.0,2002,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,1479.0,1598.0,1273.0,1085.0,1933.0,0.9791623281094588,0.03658840830267651,11.0,4.0,78211.18999604273,0.9999999999999996,3.319566843629218e-14,-0.0008216372234888015,0.24564136199654077
2002-04-01,Africa,1046.0,2002,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,1372.0,1479.0,1598.0,1143.0,1612.0,0.9397635784862747,0.26383753425102263,10.0,3.0,819678.447530094,0.9999999999999996,1.9539925233402755e-14,-1.204374674133969e-06,1.9445843718835215e-07
2002-05-01,Africa,1101.0,2002,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,1046.0,1372.0,1479.0,1179.0,1167.0,1.0,1.0,9.0,2.0,2.390930003132055e-53,1.0,3.907985046680551e-14,0.031633103332209,0.1555521189439905
2002-06-01,Africa,1242.0,2002,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,1101.0,1046.0,1372.0,1273.0,1152.0,1.0,1.0,8.0,1.0,9.738841794581234e-53,1.0,4.085620730620576e-14,0.7245012648254419,0.8330562244914372
2002-07-01,Africa,1579.0,2002,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210297e-16,1242.0,1101.0,1046.0,1598.0,1518.0,1.0,1.0,7.0,3.0,2.7862424044554887e-53,0.9999999999999998,3.197442310920451e-14,0.5218313877444732,0.8623859872152316
2002-08-01,Africa,1518.0,2002,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,1579.0,1242.0,1101.0,1479.0,1433.0,0.9630474034377874,0.7800660079578543,6.0,2.0,433943.76325456746,0.9999999999999998,2.842170943040401e-14,0.33579394836354315,0.0012635213190506345
2002-09-01,Africa,1293.0,2002,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,1518.0,1579.0,1242.0,1372.0,1085.0,0.9984031827046105,0.9903505875052006,5.0,1.0,781.540240906644,1.0,3.197442310920451e-14,-0.04545454545454774,0.0033114104179799804
2002-10-01,Africa,1254.0,2002,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,1293.0,1518.0,1579.0,1046.0,1143.0,1.0,1.0,4.0,12.0,4.980255747080292e-54,1.0,3.375077994860476e-14,0.3749279273374191,0.33840277777777783
2002-11-01,Africa,1286.0,2002,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,1254.0,1293.0,1518.0,1101.0,1179.0,1.0,1.0,3.0,11.0,6.876728539657808e-53,0.9999999999999996,3.019806626980426e-14,0.4069340029817891,0.3559027777777778
2002-12-01,Africa,1552.0,2002,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,1286.0,1254.0,1293.0,1242.0,1273.0,0.6008119766332152,0.0,5.0,17.0,12308208.582013756,1.0,2.275957200481571e-14,0.6656733440186023,0.5295773848637607
2003-01-01,Africa,876.0,2003,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,1552.0,1286.0,1254.0,1579.0,1598.0,1.0,1.0,1.0,9.0,9.21566522197355e-54,1.0,3.019806626980426e-14,0.19348918683645902,0.4402193048639405
