date,arrivals,continent,year,month_sin,month_cos,quarter_sin,quarter_cos,lag_1,lag_2,lag_3,lag_6,lag_12,seasonal_strength,trend_strength,seasonal_peak_year,seasonal_trough_year,spikiness,linearity,curvature,stl_e_acf1,stl_e_acf10,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
2002-01-01,146636.0,TOTAL_Agregado,2002,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,133614.0,121612.0,117744.0,157086.0,229230.0,1.0,1.0,13.0,21.0,5.649809399401643e-45,1.0,3.865352482534945e-12,0.5244546675006332,1.1831509686698425,-0.8222613597433018,-0.45209366061375283,1.6494851891226758,4.0,0.5132822333930612,0.718531618051387,0.9565217391304348,5.0,0.03401360544217687,5.0,0.03846758184554078,2.0,0.6666666666666666,0.16666666666666674,-0.08333333333333337,0.44041181437465127,6.0,2.0543563043733695,0.0,0.0,0.5890486225481251,1.0907951155925426
2002-02-01,133946.0,TOTAL_Agregado,2002,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,146636.0,133614.0,121612.0,147972.0,215782.0,1.0,1.0,12.0,20.0,2.008903415572226e-45,0.9999999999999998,3.524291969370097e-12,0.014285714285714323,0.09976895610165934,-0.419702454010208,-0.419702454010208,1.6544931326815688,4.0,0.5564719039262626,0.8002994720214519,0.9565217391304348,5.0,0.0748299319727891,5.0,0.047336372991571674,2.0,0.6666666666666666,0.08333333333333326,-0.16666666666666663,0.44666824075156525,6.0,2.039582475086813,0.0,0.0,0.5890486225481251,1.106032319088201
2002-03-01,123496.0,TOTAL_Agregado,2002,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,133946.0,146636.0,133614.0,112532.0,201990.0,0.20591177171598718,0.05422129023247735,1.0,19.0,8448393436645300.0,0.9999999996547635,0.001968133179389042,0.48459453529212915,0.5133276694314814,-0.004253259240469931,-0.19584816802510974,1.6826498011910656,4.0,0.506261959145942,0.8113807204681823,0.9565217391304348,5.0,0.04000000000000001,5.0,0.04888880674869087,2.0,0.5,0.0,-0.08333333333333337,0.4653374958819207,6.0,2.1256156913444824,0.0,0.0,0.5890486225481251,1.0789164615453788
2002-04-01,94070.0,TOTAL_Agregado,2002,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,123496.0,133946.0,146636.0,117744.0,169098.0,0.9102930588938455,0.29945624837163165,10.0,3.0,211569802081145.84,1.0,2.7284841053187847e-12,-0.10844309850655233,0.3324554807024921,-0.7314652499093578,-0.350044030724264,1.7049102835024645,4.0,0.506261959145942,0.8194641506706476,0.9565217391304348,5.0,0.04000000000000001,5.0,0.04779354809482108,2.0,0.5,-0.08333333333333337,-0.125,0.4760428503172397,6.0,2.07710622366748,0.0,0.0,0.5890486225481251,1.0654491667461123
2002-05-01,98990.0,TOTAL_Agregado,2002,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,94070.0,123496.0,133946.0,121612.0,122468.0,0.7592769319143718,0.39181326166588126,9.0,2.0,928789814382954.1,1.0,3.637978807091713e-12,0.25985681537670063,0.10055664185035992,-0.14693647811462135,-0.34602358534706285,1.6395300198149998,4.0,0.45272124254186663,0.7100571853517709,0.9565217391304348,5.0,0.04000000000000001,5.0,0.03687870220897591,2.0,0.5,-0.16666666666666663,0.16666666666666674,0.42370400863676033,6.0,2.0918800529540365,0.0,0.0,0.5890486225481251,1.0523731270515313
2002-06-01,111496.0,TOTAL_Agregado,2002,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,98990.0,94070.0,123496.0,133614.0,119148.0,0.8996873525554104,0.6224458124442911,8.0,3.0,352937518547666.75,1.0,2.7284841053187847e-12,-0.06307045817495506,0.18387920454791729,-0.13464408082766627,-0.33140937336547177,1.6759007291932164,4.0,0.41349186902571466,0.6856645491006492,0.9565217391304348,5.0,0.04000000000000001,5.0,0.10753465735974281,2.0,0.5,-0.25,0.39583333333333337,0.38309642009862704,6.0,2.0918800529540365,0.0,0.0,0.5890486225481251,1.0404772268349884
2002-07-01,141754.0,TOTAL_Agregado,2002,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210297e-16,111496.0,98990.0,94070.0,146636.0,157086.0,0.8027454371886289,0.4759173041181296,7.0,2.0,883097190437942.5,0.9999999999999996,2.2737367544323206e-12,-0.10715119000512484,0.32847262967174634,-0.14422508077250562,-0.3425880736719018,1.7792154712255117,4.0,0.36942264966655786,0.6762366104085644,0.9565217391304348,5.0,0.04000000000000001,5.0,0.10862547410816059,2.0,0.5,-0.33333333333333337,0.375,0.3711834692148,6.0,2.07710622366748,0.0,0.0,0.5890486225481251,1.0502635177158666
2002-08-01,136322.0,TOTAL_Agregado,2002,-0.8660254037844384,-0.5000000000000004,-1.0,-1.8369701987210297e-16,141754.0,111496.0,98990.0,133946.0,147972.0,0.7078375007982671,0.41151542795187,7.0,5.0,1073622221018004.1,1.0,3.183231456205249e-12,0.6103375053495632,0.38516419273486,-0.15363611664880394,-0.35209857249791565,1.7611725771675422,4.0,0.38373399275448117,0.7078516649850627,0.9565217391304348,5.0,0.04000000000000001,5.0,0.10971519483263881,2.0,0.5,-0.41666666666666663,0.29166666666666674,0.3672003026886944,6.0,2.1256156913444824,0.0,0.0,0.5890486225481251,1.0844102399761528
2002-09-01,115958.0,TOTAL_Agregado,2002,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,136322.0,141754.0,111496.0,123496.0,112532.0,0.5967705808394197,0.44680819334997735,5.0,20.0,1315768810388525.8,0.9999999999999998,2.2737367544323206e-12,0.6116747743971083,0.6135279570283095,-0.16195800385636738,-0.16195800385636733,1.7612263818602019,4.0,0.4058245838572264,0.7126086372850932,0.9565217391304348,5.0,0.04000000000000001,5.0,0.11009150051530144,2.0,0.5,-0.5,0.29166666666666674,0.3689718427631519,6.0,2.1256156913444824,0.0,0.0,0.5890486225481251,1.09142587782401
2002-10-01,112634.0,TOTAL_Agregado,2002,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,115958.0,136322.0,141754.0,94070.0,117744.0,1.0,1.0,4.0,1.0,8.927993496295884e-46,1.0,3.183231456205249e-12,0.2945555339510315,0.12189924653857048,-0.15748287915453157,-0.15748287915453155,1.7483432233840497,4.0,0.40833186589528503,0.6942246542642337,0.9565217391304348,5.0,0.04000000000000001,5.0,0.1117846218878149,3.0,0.5,-0.5833333333333333,0.5833333333333333,0.3936412430962673,6.0,2.1028657720503716,0.0,0.0,0.5890486225481251,1.0907356863355417
